"id","route_id","label","latitude","longitude","speed","bearing","current_status","updated_at","rn"
"y2047","71","2047","42.3704591","-71.15973638",,"257.0","IN_TRANSIT_TO","2025-08-31T11:02:55-04:00","1"
"y1863","17","1863","42.31576191","-71.06630833",,"166.0","IN_TRANSIT_TO","2025-08-31T11:02:57-04:00","1"
"y1669","36","1669","42.29171928","-71.12245125",,"39.0","IN_TRANSIT_TO","2025-08-31T09:02:57-04:00","1"
"y1921","57","1921","42.35028058","-71.16677786",,"181.0","IN_TRANSIT_TO","2025-08-31T11:02:56-04:00","1"
"y1835","57","1835","42.34977661","-71.14809033",,"61.0","STOPPED_AT","2025-08-31T11:02:59-04:00","1"
"y1873","57","1873","42.36386","-71.1854",,"90.0","STOPPED_AT","2025-08-31T11:02:52-04:00","1"
"1703","CR-Newburyport","1703","42.37703323364258","-71.07524108886719","8.9","154.0","IN_TRANSIT_TO","2025-08-31T10:12:38-04:00","1"
"1700","CR-Fitchburg","1700","42.456520080566406","-71.3957290649414","8.0","255.0","IN_TRANSIT_TO","2025-08-31T11:02:43-04:00","1"
"y1324","743","1324","42.348122279","-71.04401152",,"315.0","IN_TRANSIT_TO","2025-08-31T02:32:58-04:00","1"
"y1325","743","1325","42.39541755","-71.03340861",,"119.0","STOPPED_AT","2025-08-31T11:02:56-04:00","1"
"y1329","741","1329","42.351300239","-71.05249296",,"301.0","IN_TRANSIT_TO","2025-08-31T01:57:53-04:00","1"
"y1333","746","1333","42.3536358","-71.05340132",,"314.0","STOPPED_AT","2025-08-31T01:02:34-04:00","1"
"y1615","31","1615","42.26725","-71.09319",,"225.0","IN_TRANSIT_TO","2025-08-31T11:02:53-04:00","1"
"y1601","31","1601","42.3006","-71.11304",,"225.0","STOPPED_AT","2025-08-31T10:52:42-04:00","1"
"y1922","22","1922","42.33903603","-71.05742456",,"112.0","STOPPED_AT","2025-08-31T11:02:59-04:00","1"
"y1902","22","1902","42.28376","-71.0637",,"45.0","STOPPED_AT","2025-08-31T11:02:52-04:00","1"
"y1744","47","1744","42.34037078","-71.06344046",,"180.0","IN_TRANSIT_TO","2025-08-31T10:12:43-04:00","1"
"y1811","1","1811","42.37317","-71.11772",,"270.0","STOPPED_AT","2025-08-31T11:02:52-04:00","1"
"y1775","1","1775","42.34115771","-71.10040778",,"315.0","STOPPED_AT","2025-08-31T11:02:58-04:00","1"
"y2094","97","2094","42.401242609","-71.070837289",,"38.0","IN_TRANSIT_TO","2025-08-31T09:52:55-04:00","1"
"y1893","66","1893","42.33345725","-71.10635687",,"236.0","STOPPED_AT","2025-08-31T11:02:59-04:00","1"
"y1800","55","1800","42.34538","-71.09547",,"180.0","IN_TRANSIT_TO","2025-08-31T11:02:52-04:00","1"
"y1854","11","1854","42.3337523","-71.05016745",,"192.0","STOPPED_AT","2025-08-31T11:02:57-04:00","1"
"y1923","66","1923","42.34013937","-71.05709149",,"38.0","STOPPED_AT","2025-08-31T11:02:57-04:00","1"
"y1915","9","1915","42.33566","-71.03536",,"270.0","STOPPED_AT","2025-08-31T11:02:52-04:00","1"
"y1885","66","1885","42.34863922","-71.12963988",,"147.0","IN_TRANSIT_TO","2025-08-31T11:02:56-04:00","1"
"y1871","66","1871","42.32913","-71.08391",,"180.0","STOPPED_AT","2025-08-31T10:02:50-04:00","1"
"y1851","66","1851","42.35749","-71.12793",,"270.0","STOPPED_AT","2025-08-31T11:02:52-04:00","1"
"ynk219","Shuttle-Generic","219","41.830802","-71.417224",,"19.0","IN_TRANSIT_TO","2025-08-31T10:58:45-04:00","1"
"ynk301","Shuttle-Generic","301","42.607277","-71.573557",,"44.0","IN_TRANSIT_TO","2025-08-31T00:57:20-04:00","1"
"ynk233","Shuttle-Generic","233","42.338864","-71.04409",,"42.0","IN_TRANSIT_TO","2025-08-31T04:49:09-04:00","1"
"ynk232","Shuttle-Generic","232","42.33886","-71.044186",,"35.0","IN_TRANSIT_TO","2025-08-31T04:16:18-04:00","1"
"ynk226","Shuttle-Generic","226","42.337499","-71.036263",,"204.0","IN_TRANSIT_TO","2025-08-31T09:21:21-04:00","1"
"ynk333","Shuttle-Generic","333","42.338368","-71.044134",,"138.0","IN_TRANSIT_TO","2025-08-31T07:04:28-04:00","1"
"ynk315","Shuttle-Generic","315","42.338519","-71.043615",,"41.0","IN_TRANSIT_TO","2025-08-31T07:45:52-04:00","1"
"ynk314","Shuttle-Generic","314","42.338343","-71.044027",,"47.0","IN_TRANSIT_TO","2025-08-31T10:59:43-04:00","1"
"y2045","73","2045","42.382073169","-71.17934935",,"120.0","STOPPED_AT","2025-08-31T11:02:55-04:00","1"
"y1741","10","1741","42.33555214","-71.03961033",,"269.0","STOPPED_AT","2025-08-31T11:02:52-04:00","1"
"G-10001","Green-B","3606","42.34018","-71.16709",,"135.0","STOPPED_AT","2025-08-31T08:26:59-04:00","1"
"G-10062","Green-E","3604-3871","42.34296","-71.08476",,"225.0","STOPPED_AT","2025-08-31T11:02:42-04:00","1"
"G-10005","Green-B","3689-3890","42.34018","-71.16709",,"135.0","STOPPED_AT","2025-08-31T11:02:34-04:00","1"
"G-10025","Green-B","3866","42.34018","-71.16709",,"135.0","STOPPED_AT","2025-08-31T05:42:23-04:00","1"
"G-10034","Green-B","3859-3702","42.341","-71.16742","5.4","75.0","STOPPED_AT","2025-08-31T10:54:58-04:00","1"
"G-10067","Green-B","3820","42.34018","-71.16709",,"135.0","STOPPED_AT","2025-08-31T06:42:36-04:00","1"
"G-10086","Green-B","3641","42.34018","-71.16709",,"135.0","STOPPED_AT","2025-08-31T07:37:21-04:00","1"
